ID,EM38_ID,Year,Field,X,Y,CV.1.0m,CV.0.5m,ECe_Deep,ECe_Shallow,Gross Weight,Bag Weight,Net Weight,bu/ac,kg/ha,relative_yield,ECe_Gyp_Call,ECe_Gyp_Bern
371,109,2019,G2,617828.98,4203743.348,71.875,57.539,1.5885,NA,1093.04,46.27,1046.77,218.9953026,13773.28947,77.84297101,2.032921383,1.984130386
372,213,2019,G2,617941.349,4203760.874,119.648,82.852,4.602,NA,1292.62,46.27,1246.35,260.7495395,16399.34211,92.6847225,3.176664755,3.12285929
373,314,2019,G2,617651.408,4203789.398,77.813,50.859,3.676,NA,1047.34,47.69,999.65,209.1373026,13153.28947,74.33889581,2.179290182,2.129376412
374,502,2019,G2,617797.646,4203823.093,90,63.945,3.444,NA,1241.06,46.27,1194.79,249.9626447,15720.92105,88.850467,2.475486862,2.423773528
375,560,2019,G2,617915.477,4203839.198,98.516,76.055,3.366,NA,1113.74,46.27,1067.47,223.3259605,14045.65789,79.38232492,2.679479335,2.626862534
376,647,2019,G2,617720.534,4203852.656,92.305,66.055,2.863,NA,1011.52,46.27,965.25,201.9404605,12700.65789,71.78074243,2.53092858,2.478943845
377,182,2019,M2,618846.172,4204163.236,68.32,47.148,1.99775,NA,1050.68,46.27,1004.41,210.1331447,13215.92105,91.21325863,2.669470229,2.679076722
378,361,2019,M2,619030.728,4204121.058,131.328,104.18,6.45,NA,316.67,46.27,270.4,56.57052632,3557.894737,24.55577418,4.731522778,4.792657829
379,537,2019,M2,618873.342,4204073.504,95.82,66.992,2.998,NA,677.22,46.27,630.95,132.0013816,8301.973684,57.29831995,3.590007954,3.620211817
380,698,2019,M2,619006.517,4204027.825,131.445,88.633,7.2,NA,156.13,46.27,109.86,22.98386842,1445.526316,9.976691388,4.735214572,4.796457755
381,971,2019,M2,618918.66,4203950.879,93.164,64.531,5.04375,NA,518.05,46.27,471.78,98.70134211,6207.631579,42.84365067,3.502699998,3.530764814
382,1040,2019,M2,619054.62,4203938.828,61.953,36.914,4.253,NA,543,46.27,496.73,103.9211447,6535.921053,45.10942939,2.450270006,2.455686458
383,240,2019,M3,619196.7,4204143.561,51.797,25.625,1.919,NA,964.2,46.27,917.93,192.0406184,12078.02632,63.14086718,2.64961876,2.637106022
384,345,2019,M3,619420.908,4204170.095,71.641,56.055,3.41,NA,714.62,46.27,668.35,139.8258553,8794.078947,45.9732208,3.520089294,3.519579402
385,645,2019,M3,619568.402,4204252.597,31.406,13.984,2.1465,NA,1005.16,46.27,958.89,200.6098816,12616.97368,65.95834769,1.709492474,1.689417868
386,941,2019,M3,619353.42,4204302.958,56.016,29.414,2.627,NA,950.6,46.27,904.33,189.1953553,11899.07895,62.20537559,2.837716504,2.827446229
387,1036,2019,M3,619221.25,4204326.686,25.898,6.523,2.4935,NA,731.11,46.27,684.84,143.2757368,9011.052632,47.10750435,1.443834841,1.422992263
388,1095,2019,M3,619482.899,4204332.319,87.5,47.461,5.45125,NA,608.92,46.27,562.65,117.7123026,7403.289474,38.70252515,4.193904315,4.205177512
389,146,2019,M6,619344.811,4204570.812,56.836,22.422,2.44475,NA,1260.37,46.27,1214.1,254.0025,15975,87.70899004,2.189182256,2.182508753
390,184,2019,M6,619141.712,4204565.541,125.117,91.211,6.46,NA,664.62,46.27,618.35,129.3653289,8136.184211,44.67082941,4.369492769,4.405078156
391,365,2019,M6,619273.628,4204630.014,68.047,49.023,2.37925,NA,1229.31,46.27,1183.04,247.5044211,15566.31579,85.46515409,2.563073353,2.561776877
392,548,2019,M6,619405.423,4204679.578,45.586,39.609,1.74475,NA,1359.85,46.27,1313.58,274.8147632,17283.94737,94.89562239,1.804604481,1.793497653
393,586,2019,M6,619207.913,4204677.647,67.227,48.32,2.22125,NA,1377.05,46.27,1330.78,278.4131842,17510.26316,96.13818448,2.536001114,2.53428359
394,149,2019,M12,619448.415,4204944.353,46.328,41.055,1.37275,NA,1286.2,46.27,1239.93,259.4064079,16314.86842,83.23167458,1.468712345,1.46321204
395,353,2019,M12,619552.386,4205000.811,68.984,54.727,2.292,NA,1330.83,46.27,1284.56,268.7434737,16902.10526,86.22751275,2.081499165,2.085417771
396,444,2019,M12,619098.144,4204992.931,108.242,73.438,5.2365,NA,814.77,46.27,768.5,160.7782895,10111.84211,51.58641371,3.088410083,3.114009031
397,511,2019,M12,619309.717,4205024.556,70.469,55.703,1.5265,NA,1517.04,46.27,1470.77,307.7005658,19352.23684,98.72706525,2.120692328,2.125325055
398,838,2019,M12,619491.762,4205113.416,49.141,36.484,1.2805,NA,1397.43,46.27,1351.16,282.6768947,17778.42105,90.69811152,1.546532349,1.542026126
399,903,2019,M12,619165.59,4205107.449,77.852,64.805,2.87275,NA,1274.74,46.27,1228.47,257.0088553,16164.07895,82.4624094,2.314074601,2.322401336
400,DL0,2018,M2_2018,619019.597,4204110.357,164,139,11.20666667,NA,NA,NA,NA,53.13424342,3341.776316,18.72456453,9.507207336,10.01052734
401,DL1,2018,M2_2018,618870.356,4204378.026,65,56,1.266666667,NA,NA,NA,NA,207.4364211,15551.97368,87.14046278,1.266666667,1.266666667
402,DL2,2018,M2_2018,618960.1119,4204170.525,116,90,2.803333333,NA,NA,NA,NA,189.5070789,13108.94737,73.45175371,2.803333333,2.803333333
403,DL3,2018,M2_2018,618989.1702,4204049.886,111,91,4.656,NA,NA,NA,NA,145.7015329,9163.618421,51.34537689,3.5257936,3.5181616
